iter	Passed	Remaining
0	3	747
1	6	678
2	9	624
3	13	647
4	15	614
5	18	583
6	20	575
7	23	562
8	25	549
9	28	543
10	31	532
11	33	518
12	36	528
13	39	520
14	41	509
15	44	507
16	46	499
17	48	492
18	50	483
19	53	478
20	55	473
21	58	472
22	60	468
23	63	462
24	65	459
25	69	465
26	72	466
27	75	462
28	77	457
29	80	454
30	83	453
31	85	450
32	88	448
33	91	445
34	95	447
35	97	444
36	100	441
37	103	439
38	105	433
39	107	431
40	110	428
41	112	424
42	116	426
43	119	424
44	123	424
45	125	421
46	129	420
47	132	419
48	135	418
49	138	415
50	141	413
51	144	409
52	147	408
53	149	404
54	152	402
55	155	401
56	160	402
57	168	413
58	174	417
59	181	423
60	187	427
61	190	423
62	197	429
63	201	428
64	206	428
65	209	425
66	212	422
67	216	419
68	220	418
69	226	420
70	229	417
71	236	421
72	241	420
73	245	418
74	250	417
75	265	433
76	273	437
77	282	441
78	287	440
79	307	461
80	318	468
81	325	468
82	333	470
83	342	473
84	349	472
85	357	473
86	367	476
87	378	481
88	398	496
89	417	510
90	428	513
91	436	512
92	442	509
93	445	502
94	450	497
95	454	491
96	458	487
97	461	480
98	466	476
99	469	469
100	473	464
101	476	457
102	482	454
103	485	448
104	489	443
105	492	436
106	497	432
107	499	425
108	502	419
109	505	413
110	508	407
111	513	403
112	515	396
113	520	392
114	523	386
115	525	380
116	529	375
117	532	370
118	536	365
119	539	359
120	545	356
121	548	350
122	553	346
123	556	341
124	560	336
125	562	330
126	565	325
127	568	320
128	571	314
129	574	309
130	577	304
131	580	298
132	586	295
133	589	290
134	592	285
135	596	280
136	600	276
137	603	271
138	607	266
139	610	261
140	612	256
141	616	251
142	619	246
143	623	242
144	626	237
145	630	233
146	632	228
147	636	223
148	639	219
149	642	214
150	646	209
151	649	205
152	652	200
153	657	196
154	663	192
155	681	192
156	689	188
157	697	185
158	699	180
159	703	175
160	705	170
161	709	166
162	712	161
163	715	157
164	719	152
165	722	147
166	727	143
167	729	138
168	732	134
169	736	129
170	740	125
171	743	121
172	746	116
173	750	112
174	753	107
175	757	103
176	760	98
177	764	94
178	766	89
179	769	85
180	773	81
181	775	76
182	780	72
183	782	68
184	785	63
185	789	59
186	791	55
187	796	50
188	800	46
189	806	42
190	809	38
191	813	33
192	816	29
193	820	25
194	823	21
195	827	16
196	829	12
197	831	8
198	835	4
199	838	0
